"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"29585408","2017-04-28 12:15:00","5000m row","""20:48.3""","1248.3","","","5000","","21","442","2:04.8","180","919","317","","140","39","Hwt","Indoor Rower","No",""
"29585409","2017-04-28 11:54:00","1:04 row","""1:04.2""","64.2","","","240","","19","20","2:13.7","146","803","14","","140","39","Hwt","Indoor Rower","No",""
"29562458","2017-04-26 20:07:00","5:00 row","""5:00.0""","300","","","1084","","20","102","2:18.3","132","754","61","","141","39","Hwt","Indoor Rower","No",""
"29562459","2017-04-26 19:26:00","v177m/0:33r...15 row","""5:58.5""","358.5","15:30.0","930","1839","1148","32","476","1:37.4","378","1600","156","","144","39","Hwt","Indoor Rower","No",""
"29562460","2017-04-26 19:07:00","5:00 row","""5:00.0""","300","","","1160","","20","101","2:09.3","162","857","70","","142","39","Hwt","Indoor Rower","No",""
"29557525","2017-04-25 13:03:00","v177m/0:30r...6 row","""2:31.5""","151.5","6:00.0","360","752","188","43","146","1:40.7","342","1478","53","","159","39","Hwt","Indoor Rower","No",""
"29557526","2017-04-25 12:51:00","5:00 row","""5:00.0""","300","","","1200","","21","106","2:05.0","179","916","75","","141","39","Hwt","Indoor Rower","No",""
"29557527","2017-04-23 10:08:00","5:04 row","""5:04.0""","304","","","1172","","21","105","2:09.6","160","852","71","","187","39","Hwt","Indoor Rower","No",""
"29557530","2017-04-23 09:27:00","15x3:00/0:30r row","""3:00.0""","180","","","919","0","30","192","1:37.9","373","1582","76","","155","39","Hwt","Indoor Rower","No",""
"29562462","2017-04-23 09:18:00","10:00 row","""10:00.0""","600","","","2403","","21","212","2:04.8","180","919","151","","151","39","Hwt","Indoor Rower","No",""
"29519094","2017-04-21 13:23:00","3000m row","""12:30.6""","750.6","","","3000","","21","263","2:05.1","179","915","189","","141","39","Hwt","Indoor Rower","No",""
"29518953","2017-04-21 13:05:00","3000m row","""11:50.1""","710.1","","","3000","","23","267","1:58.3","211","1026","201","","141","39","Hwt","Indoor Rower","No",""
"29506623","2017-04-19 19:48:00","5:00 row","""5:00.0""","300","","","1190","","20","99","2:06.0","175","901","73","","141","39","Hwt","Indoor Rower","No",""
"29506624","2017-04-19 19:41:00","10:00 row","""10:00.0""","600","","","2415","","21","210","2:04.2","183","928","153","","141","39","Hwt","Indoor Rower","No",""
"29505736","2017-04-19 19:11:00","10:00 row","""10:00.0""","600","","","2326","","19","189","2:08.9","163","861","140","","154","39","Hwt","Indoor Rower","No",""
"29505738","2017-04-19 18:59:00","10:00 row","""10:00.0""","600","","","2450","","19","191","2:02.4","191","956","157","184","172","39","Hwt","Indoor Rower","No",""
"29476680","2017-04-16 12:02:00","5:00 row","""5:00.0""","300","","","1238","","21","105","2:01.1","197","977","80","","145","39","Hwt","Indoor Rower","No",""
"29476681","2017-04-16 11:16:00","10:00 row","""10:00.0""","600","","","2514","","21","208","1:59.3","206","1008","165","","152","39","Hwt","Indoor Rower","No",""
"29453945","2017-04-13 13:50:00","2000m row","""8:27.2""","507.2","","","2000","","21","180","2:06.8","172","890","122","","141","39","Hwt","Indoor Rower","No",""
"29453946","2017-04-13 13:39:00","2000m row","""7:52.1""","472.1","","","2000","","24","193","1:58.0","213","1032","133","","142","39","Hwt","Indoor Rower","No",""
"29453947","2017-04-13 13:28:00","2000m row","""8:15.2""","495.2","","","2000","","22","180","2:03.8","184","934","126","","141","39","Hwt","Indoor Rower","No",""
"29453948","2017-04-12 20:00:00","10:00 row","""10:00.0""","600","","","2410","","21","206","2:04.4","181","924","151","","147","39","Hwt","Indoor Rower","No",""
"29453949","2017-04-12 19:48:00","3000m row","""12:34.8""","754.8","","","3000","","21","255","2:05.8","176","905","187","184","147","39","Hwt","Indoor Rower","No",""
"29453950","2017-04-10 19:30:00","5:00 row","""5:00.0""","300","","","1162","","21","106","2:09.0","163","859","70","","139","39","Hwt","Indoor Rower","No",""
"29453951","2017-04-10 18:52:00","5x0:30/0:30r row","""2:30.0""","150","2:30.0","150","816","153","37","107","1:31.9","451","1851","75","","140","39","Hwt","Indoor Rower","No",""
"29453952","2017-04-10 18:44:00","10:00 row","""10:00.0""","600","","","2402","","20","205","2:04.8","180","918","150","","139","39","Hwt","Indoor Rower","No",""
"29415176","2017-04-09 11:16:00","10:00 row","""10:00.0""","600","","","2332","","21","209","2:08.6","164","865","142","","137","39","Hwt","Indoor Rower","No",""
"29415177","2017-04-07 19:35:00","5:00 row","""5:00.0""","300","","","1142","","21","104","2:11.3","154","831","69","184","178","39","Hwt","Indoor Rower","No",""
"29415178","2017-04-07 18:44:00","10:00 row","""10:00.0""","600","","","2421","","21","210","2:03.9","184","933","154","","144","39","Hwt","Indoor Rower","No",""
"29389964","2017-04-06 13:55:00","10000m row","""42:47.5""","2567.5","","","10000","","21","891","2:08.3","165","869","617","","149","39","Hwt","Indoor Rower","No",""
"29277714","2017-03-26 09:46:00","21097m row","""1:35:05.0""","5705","","","21097","","21","2008","2:15.2","142","787","1248","","143","39","Hwt","Indoor Rower","Yes",""
"29256757","2017-03-22 20:04:00","5:00 row","""5:00.0""","300","","","1088","","20","101","2:17.8","134","759","60","","156","39","Hwt","Indoor Rower","No",""
"29256758","2017-03-22 19:10:00","10:00 row","""10:00.0""","600","","","2415","","20","202","2:04.2","183","928","151","","156","39","Hwt","Indoor Rower","No",""
"29202911","2017-03-19 11:01:00","5:00 row","""5:00.0""","300","","","1169","","21","107","2:08.3","166","870","69","","163","39","Hwt","Indoor Rower","No",""
"29202759","2017-03-19 10:31:00","7000m row","""29:46.9""","1786.9","","","7000","","21","619","2:07.6","168","879","434","","163","39","Hwt","Indoor Rower","No",""
"29192397","2017-03-18 11:36:00","3000m row","""12:52.9""","772.9","","","3000","","21","277","2:08.8","164","863","183","","143","39","Hwt","Indoor Rower","No",""
"29192398","2017-03-18 11:14:00","3000m row","""12:59.9""","779.9","","","3000","","22","278","2:09.9","159","848","182","","133","39","Hwt","Indoor Rower","No",""
"29192399","2017-03-18 10:51:00","3000m row","""13:14.7""","794.7","","","3000","","22","288","2:12.4","151","818","178","","132","39","Hwt","Indoor Rower","No",""
"29185040","2017-03-17 13:37:00","7000m row","""30:00.1""","1800.1","","","7000","","21","638","2:08.5","165","866","432","","137","39","Hwt","Indoor Rower","No",""
"29167337","2017-03-15 20:05:00","5:00 row","""5:00.0""","300","","","1163","","19","95","2:08.9","163","861","69","","154","39","Hwt","Indoor Rower","No",""
"29167338","2017-03-15 19:20:00","0:30 row","""0:30.0""","30","","","162","","36","18","1:32.5","441","1817","15","","135","39","Hwt","Indoor Rower","No",""
"29167339","2017-03-15 19:18:00","1:00 row","""1:00.0""","60","","","295","","25","25","1:41.6","333","1445","24","","135","39","Hwt","Indoor Rower","No",""
"29167340","2017-03-15 19:16:00","1:30 row","""1:30.0""","90","","","429","","25","37","1:44.8","303","1343","33","","133","39","Hwt","Indoor Rower","No",""
"29167341","2017-03-15 19:14:00","2:00 row","""2:00.0""","120","","","571","","26","52","1:45.0","302","1338","44","","134","39","Hwt","Indoor Rower","No",""
"29167342","2017-03-15 19:07:00","10:00 row","""10:00.0""","600","","","2450","","19","196","2:02.4","191","956","158","184","135","39","Hwt","Indoor Rower","No",""
"29138884","2017-03-12 10:07:00","5:09 row","""5:09.2""","309.2","","","1123","","14","103","2:17.6","134","761","65","184","152","39","Hwt","Indoor Rower","No",""
"29106483","2017-03-10 12:25:00","1000m row","""3:18.0""","198","","","1000","","31","103","1:38.9","361","1541","82","","155","39","Hwt","Indoor Rower","Yes",""
"29106484","2017-03-10 12:17:00","3:45 row","""3:45.3""","225.3","","","850","","19","72","2:12.5","150","817","49","","149","39","Hwt","Indoor Rower","No",""
"29101725","2017-03-08 20:00:00","5:00 row","""5:00.0""","300","","","1114","","21","105","2:14.6","143","793","65","","160","39","Hwt","Indoor Rower","No",""
"29101726","2017-03-08 19:24:00","23:06 row","""5:06.0""","306","18:00.0","1080","1500","0","27","290","1:42.0","330","1435","120","","158","39","Hwt","Indoor Rower","No",""
"29101727","2017-03-08 19:07:00","10:00 row","""10:00.0""","600","","","2409","","21","207","2:04.5","181","923","151","255","159","39","Hwt","Indoor Rower","No",""
"29050400","2017-03-05 11:02:00","5:00 row","""5:00.0""","300","","","1167","","20","99","2:08.5","165","867","71","","157","39","Hwt","Indoor Rower","No",""
"29050401","2017-03-05 10:17:00","10:00 row","""10:00.0""","600","","","2410","","20","203","2:04.4","181","924","154","","155","39","Hwt","Indoor Rower","No",""
"29041682","2017-03-04 13:14:00","1097m row","""4:36.2""","276.2","","","1097","","23","104","2:05.8","175","903","68","","155","39","Hwt","Indoor Rower","No",""
"29041683","2017-03-04 13:06:00","2000m row","""8:36.1""","516.1","","","2000","","23","193","2:09.0","163","860","121","","156","39","Hwt","Indoor Rower","No",""
"29041684","2017-03-04 12:33:00","4000m row","""17:28.4""","1048.4","","","4000","","22","375","2:11.0","156","835","240","","156","39","Hwt","Indoor Rower","No",""
"29041685","2017-03-04 12:07:00","5000m row","""21:50.6""","1310.6","","","5000","","21","462","2:11.0","155","835","301","","155","39","Hwt","Indoor Rower","No",""
"29041687","2017-03-04 11:38:00","6000m row","""25:50.0""","1550","","","6000","","22","559","2:09.1","162","858","366","","156","39","Hwt","Indoor Rower","No",""
"29041705","2017-03-04 00:00:00","3,000m row","""12:57.9""","777.9","","","3000","","","","2:09.6","161","852","184","","","39","Hwt","Indoor Rower","No",""
"28991657","2017-02-22 20:02:00","5:00 row","""5:00.0""","300","","","1151","","22","109","2:10.3","158","844","69","","169","39","Hwt","Indoor Rower","No",""
"28991658","2017-02-22 19:22:00","6x100m/1:00r row","""1:40.2""","100.2","6:00.0","360","600","261","49","85","1:23.5","601","2369","62","184","170","39","Hwt","Indoor Rower","No",""
"28991659","2017-02-22 19:10:00","10:00 row","""10:00.0""","600","","","2405","","22","217","2:04.7","180","920","150","184","145","39","Hwt","Indoor Rower","No",""
"28911313","2017-02-19 10:18:00","100m row","""0:16.0""","16","","","100","","56","15","1:20.0","684","2652","11","","174","39","Hwt","Indoor Rower","No",""
"28911314","2017-02-19 10:15:00","10:00 row","""10:00.0""","600","","","2404","","21","212","2:04.7","180","919","150","","146","39","Hwt","Indoor Rower","No",""
"28891164","2017-02-15 19:49:00","5:00 row","""5:00.0""","300","","","1167","","22","108","2:08.5","165","867","70","","152","39","Hwt","Indoor Rower","No",""
"28891165","2017-02-15 19:32:00","2:00 row","""2:00.0""","120","","","550","","26","52","1:49.0","270","1227","40","","151","39","Hwt","Indoor Rower","No",""
"28891166","2017-02-15 19:15:00","2:00 row","""2:00.0""","120","","","547","","25","49","1:49.6","265","1212","40","","152","39","Hwt","Indoor Rower","No",""
"28891167","2017-02-15 19:10:00","10:00 row","""10:00.0""","600","","","2404","","22","215","2:04.7","180","919","150","","150","39","Hwt","Indoor Rower","No",""
"28827401","2017-02-11 11:27:00","100m row","""0:15.9""","15.9","","","100","","53","14","1:19.5","697","2697","11","","180","39","Hwt","Indoor Rower","No",""
"28827403","2017-02-11 11:22:00","100m row","""0:15.6""","15.6","","","100","","58","15","1:17.9","738","2838","12","","181","39","Hwt","Indoor Rower","Yes",""
"28827404","2017-02-11 11:17:00","10:00 row","""10:00.0""","600","","","2399","","22","217","2:05.0","179","915","149","","143","39","Hwt","Indoor Rower","No",""
"28812146","2017-02-08 19:27:00","100m row","""0:16.3""","16.3","","","100","","48","13","1:21.5","647","2525","11","","181","39","Hwt","Indoor Rower","No",""
"28812148","2017-02-08 19:23:00","200m row","""0:34.8""","34.8","","","200","","38","22","1:27.0","532","2129","20","","152","39","Hwt","Indoor Rower","No",""
"28812149","2017-02-08 19:20:00","300m row","""0:56.3""","56.3","","","300","","30","28","1:33.8","424","1757","27","","150","39","Hwt","Indoor Rower","No",""
"28812150","2017-02-08 19:16:00","400m row","""1:18.5""","78.5","","","400","","30","39","1:38.1","370","1574","32","","149","39","Hwt","Indoor Rower","No",""
"28764181","2017-02-05 11:05:00","5:00 row","""5:00.0""","300","","","1153","","23","115","2:10.0","159","847","69","","133","39","Hwt","Indoor Rower","No",""
"28764183","2017-02-05 10:25:00","100m row","""0:15.9""","15.9","","","100","","53","14","1:19.5","697","2697","11","","176","39","Hwt","Indoor Rower","No",""
"28764185","2017-02-05 10:18:00","100m row","""0:15.8""","15.8","","","100","","57","15","1:19.0","710","2743","11","","176","39","Hwt","Indoor Rower","No",""
"28764187","2017-02-05 10:13:00","100m row","""0:15.9""","15.9","","","100","","57","15","1:19.5","697","2697","11","","175","39","Hwt","Indoor Rower","No",""
