"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"33440134","2018-04-22 10:24:00","10x0:30/1:00r row","""5:00.0""","300","10:00.0","600","1497","295","30","171","1:40.2","348","1497","120","","147","40","Hwt","Indoor Rower","No",""
"33046795","2018-03-27 15:47:00","5000m row","""21:19.1""","1279.1","","","5000","","22","465","2:07.9","167","875","308","","148","40","Hwt","Indoor Rower","No",""
"33046434","2018-03-27 15:14:00","5000m row","""20:55.3""","1255.3","","","5000","","22","459","2:05.5","177","908","316","","159","40","Hwt","Indoor Rower","No",""
"32994058","2018-03-23 12:23:00","6x0:45/1:00r row","""4:30.0""","270","6:00.0","360","1302","178","28","137","1:43.6","314","1380","99","","143","40","Hwt","Indoor Rower","No",""
"32994059","2018-03-23 12:10:00","5:00 row","""5:00.0""","300","","","1214","","23","113","2:03.5","186","938","75","","142","40","Hwt","Indoor Rower","No",""
"32994060","2018-03-21 14:44:00","2:06 row","""2:06.8""","126.8","","","358","","28","60","2:57.0","63","516","18","","184","40","Hwt","Indoor Rower","No",""
"32994061","2018-03-21 14:41:00","1:16 row","""1:16.8""","76.8","","","297","","19","24","2:09.2","162","857","18","","190","40","Hwt","Indoor Rower","No",""
"32887680","2018-03-15 13:38:00","v4:00/1:00r...4 row","""10:00.0""","600","4:00.0","240","2633","97","26","263","1:53.9","237","1114","184","","140","40","Hwt","Indoor Rower","No",""
"32887681","2018-03-15 13:20:00","10:00 row","""10:00.0""","600","","","2403","","21","215","2:04.8","180","919","150","","140","40","Hwt","Indoor Rower","No",""
"32835642","2018-03-11 11:11:00","v4:00/1:00r...4 row","""10:00.0""","600","4:00.0","240","2614","78","26","261","1:54.7","232","1096","181","","150","40","Hwt","Indoor Rower","No",""
